Date,Kick Off (local),Home Team,Away Team,Venue,Home Score,Away Score,Play Off Game?,Home Odds Close,Away Odds Close,Winning Team,lat,long,Weather
2025-03-16,15:10:00,West Coast,Gold Coast,Optus Stadium,49,136,0,2.45,1.58,Gold Coast,-31.9511355,115.8890382,0.0
2025-03-16,15:20:00,Melbourne,GWS Giants,MCG,74,77,0,2.35,1.63,GWS Giants,28.4594965,77.0266383,
2025-03-16,12:05:00,Adelaide,St Kilda,Adelaide Oval,135,72,0,1.3,3.7,Adelaide,-34.9156274,138.5963065,0.2
2025-03-15,19:35:00,Collingwood,Port Adelaide,MCG,136,45,0,1.58,2.45,Collingwood,28.4594965,77.0266383,0.0
2025-03-15,19:35:00,Western Bulldogs,North Melbourne,Marvel Stadium,113,97,0,1.36,3.3,Western Bulldogs,-37.8165647,144.9475055,0.0
2025-03-15,16:15:00,Sydney,Brisbane,Sydney Cricket Ground,82,86,0,2.18,1.72,Brisbane,-33.8915316,151.2248515,0.0
2025-03-15,13:20:00,Geelong,Fremantle,GMHBA Stadium,147,69,0,1.42,3.0,Geelong,-38.1579979,144.354673,0.0
2025-03-14,19:40:00,Hawthorn,Essendon,MCG,111,85,0,1.3,3.6,Hawthorn,28.4594965,77.0266383,0.4
2025-03-13,19:30:00,Richmond,Carlton,MCG,82,69,0,11.0,1.05,Richmond,28.4594965,77.0266383,0.0
2025-03-09,15:20:00,GWS Giants,Collingwood,ENGIE Stadium,104,52,0,2.18,1.72,GWS Giants,-33.84306979999999,151.0676963,0.4
2025-03-07,19:40:00,Sydney,Hawthorn,Sydney Cricket Ground,76,96,0,2.0,1.85,Hawthorn,-33.8915316,151.2248515,0.0
2024-09-28,14:30:00,Sydney,Brisbane,MCG,60,120,1,1.75,2.15,Brisbane,28.4594965,77.0266383,0.0
2024-09-21,17:15:00,Geelong,Brisbane,MCG,85,95,1,1.87,1.97,Brisbane,28.4594965,77.0266383,0.0
2024-09-20,19:40:00,Sydney,Port Adelaide,Sydney Cricket Ground,95,59,1,1.36,3.3,Sydney,-33.8915316,151.2248515,0.0
2024-09-14,19:30:00,GWS Giants,Brisbane,ENGIE Stadium,100,105,1,1.68,2.25,Brisbane,-33.84306979999999,151.0676963,0.0
2024-09-13,19:10:00,Port Adelaide,Hawthorn,Adelaide Oval,75,72,1,2.25,1.68,Port Adelaide,-34.9156274,138.5963065,0.0
2024-09-07,19:30:00,Brisbane,Carlton,Gabba,99,71,1,1.27,4.0,Brisbane,-27.4858376,153.0380853,0.0
2024-09-07,15:20:00,Sydney,GWS Giants,Sydney Cricket Ground,88,82,1,1.58,2.45,Sydney,-33.8915316,151.2248515,0.0
2024-09-06,19:40:00,Western Bulldogs,Hawthorn,MCG,62,99,1,1.65,2.3,Hawthorn,28.4594965,77.0266383,5.1
2024-09-05,19:10:00,Port Adelaide,Geelong,Adelaide Oval,54,138,1,1.38,3.2,Geelong,-34.9156274,138.5963065,0.4
