Date,Round,Venue,A_Team,B_Team,Winner
2011-06-18 19:10:00,13,Gabba,Richmond,Brisbane Lions,Richmond
2011-06-18 19:10:00,13,M.C.G.,Geelong,St Kilda,Geelong
2011-06-19 13:10:00,13,M.C.G.,Fremantle,Melbourne,Melbourne
2011-06-19 14:10:00,13,Docklands,Sydney,Carlton,Carlton
2011-06-19 16:40:00,13,Subiaco,Port Adelaide,West Coast,West Coast
2011-06-24 19:40:00,14,M.C.G.,Essendon,Hawthorn,Hawthorn
2011-06-25 14:10:00,14,Carrara,Western Bulldogs,Gold Coast,Western Bulldogs
2011-06-25 14:10:00,14,M.C.G.,Melbourne,Richmond,Melbourne
2011-06-25 19:10:00,14,Stadium Australia,Collingwood,Sydney,Collingwood
2011-06-25 19:40:00,14,Subiaco,Brisbane Lions,Fremantle,Fremantle
2011-06-26 13:10:00,14,GMHBA Stadium,Adelaide,Geelong,Geelong
2011-06-26 14:10:00,14,Docklands,West Coast,Carlton,West Coast
2011-06-26 16:40:00,14,Football Park,North Melbourne,Port Adelaide,North Melbourne
2011-07-01 19:40:00,15,Docklands,Melbourne,Western Bulldogs,Western Bulldogs
2011-07-02 14:10:00,15,M.C.G.,Carlton,Richmond,Carlton
2011-07-02 15:10:00,15,Subiaco,Gold Coast,Fremantle,Fremantle
2011-07-02 19:10:00,15,Docklands,Geelong,Essendon,Essendon
2011-07-02 19:40:00,15,Football Park,Sydney,Adelaide,Adelaide
2011-07-03 13:10:00,15,Gabba,Port Adelaide,Brisbane Lions,Brisbane Lions
2011-07-03 14:10:00,15,M.C.G.,Hawthorn,Collingwood,Collingwood
2011-07-03 16:40:00,15,Docklands,St Kilda,North Melbourne,St Kilda
2011-07-08 20:40:00,16,Subiaco,Geelong,West Coast,West Coast
2011-07-09 14:10:00,16,University of Tasmania Stadium,Brisbane Lions,Hawthorn,Hawthorn
2011-07-09 19:10:00,16,M.C.G.,Richmond,Essendon,Essendon
2011-07-09 19:10:00,16,Carrara,Sydney,Gold Coast,Sydney
2011-07-10 13:10:00,16,M.C.G.,North Melbourne,Collingwood,Collingwood
2011-07-10 15:10:00,16,Football Park,St Kilda,Port Adelaide,St Kilda
2011-07-10 16:40:00,16,Docklands,Carlton,Western Bulldogs,Western Bulldogs
2011-07-15 20:40:00,17,Football Park,Essendon,Adelaide,Essendon
2011-07-16 14:10:00,17,M.C.G.,Collingwood,Carlton,Collingwood
2011-07-16 14:10:00,17,Cazaly's Stadium,Gold Coast,Richmond,Gold Coast
2011-07-16 19:10:00,17,Docklands,West Coast,St Kilda,St Kilda
2011-07-16 20:40:00,17,Marrara Oval,Port Adelaide,Melbourne,Melbourne
2011-07-17 13:10:00,17,S.C.G.,Fremantle,Sydney,Fremantle
2011-07-17 14:10:00,17,Gabba,Geelong,Brisbane Lions,Geelong
2011-07-17 16:40:00,17,Docklands,Western Bulldogs,North Melbourne,North Melbourne
2011-07-22 19:40:00,18,Docklands,Adelaide,St Kilda,St Kilda
2011-07-23 14:10:00,18,Docklands,Brisbane Lions,North Melbourne,North Melbourne
2011-07-23 14:10:00,18,S.C.G.,Western Bulldogs,Sydney,Sydney
2011-07-23 19:10:00,18,M.C.G.,Carlton,Essendon,Carlton
2011-07-23 19:10:00,18,Carrara,Collingwood,Gold Coast,Collingwood
2011-07-24 13:10:00,18,Docklands,Richmond,Geelong,Geelong
2011-07-24 14:10:00,18,M.C.G.,Hawthorn,Melbourne,Hawthorn
2011-07-24 16:40:00,18,Subiaco,West Coast,Fremantle,West Coast
2011-07-29 19:40:00,19,Docklands,Carlton,North Melbourne,Carlton
2011-07-30 14:10:00,19,GMHBA Stadium,Melbourne,Geelong,Geelong
2011-07-30 14:10:00,19,Docklands,West Coast,Western Bulldogs,West Coast
2011-07-30 19:10:00,19,Carrara,St Kilda,Gold Coast,St Kilda
2011-07-30 19:40:00,19,Subiaco,Hawthorn,Fremantle,Hawthorn
2011-07-31 14:10:00,19,M.C.G.,Essendon,Collingwood,Collingwood
2011-07-31 16:40:00,19,Football Park,Port Adelaide,Adelaide,Adelaide
2011-08-05 19:40:00,20,Docklands,Fremantle,St Kilda,St Kilda
2011-08-06 13:40:00,20,GMHBA Stadium,Gold Coast,Geelong,Geelong
2011-08-06 14:10:00,20,M.C.G.,Melbourne,Carlton,Carlton
2011-08-06 19:20:00,20,Docklands,Sydney,Essendon,Essendon
2011-08-06 19:40:00,20,Football Park,Collingwood,Port Adelaide,Collingwood
2011-08-07 13:10:00,20,Gabba,Adelaide,Brisbane Lions,Adelaide
2011-08-07 14:10:00,20,University of Tasmania Stadium,North Melbourne,Hawthorn,Hawthorn
2011-08-07 16:40:00,20,Subiaco,Richmond,West Coast,West Coast
2011-08-12 19:40:00,21,Docklands,Collingwood,St Kilda,Collingwood
2011-08-13 14:10:00,21,M.C.G.,Port Adelaide,Hawthorn,Hawthorn
2011-08-13 15:10:00,21,Subiaco,Carlton,Fremantle,Carlton
2011-08-13 19:10:00,21,Gabba,Gold Coast,Brisbane Lions,Brisbane Lions
2011-08-13 19:10:00,21,Docklands,Essendon,Western Bulldogs,Essendon
2011-08-14 13:10:00,21,Docklands,West Coast,Melbourne,West Coast
2011-08-14 14:10:00,21,M.C.G.,Sydney,Richmond,Richmond
2011-08-14 16:40:00,21,Football Park,Geelong,Adelaide,Geelong
2011-08-19 19:40:00,22,Docklands,Hawthorn,Carlton,Hawthorn
2011-08-20 14:10:00,22,Carrara,Adelaide,Gold Coast,Adelaide
2011-08-20 15:10:00,22,Subiaco,Essendon,West Coast,West Coast
2011-08-20 19:10:00,22,M.C.G.,Brisbane Lions,Collingwood,Collingwood
2011-08-20 19:10:00,22,Docklands,Fremantle,North Melbourne,North Melbourne
2011-08-21 13:10:00,22,Stadium Australia,St Kilda,Sydney,Sydney
2011-08-21 15:10:00,22,Football Park,Western Bulldogs,Port Adelaide,Western Bulldogs
2011-08-21 16:40:00,22,M.C.G.,Richmond,Melbourne,Richmond
2011-08-26 20:40:00,23,Subiaco,Collingwood,Fremantle,Collingwood
2011-08-27 14:10:00,23,GMHBA Stadium,Sydney,Geelong,Sydney
2011-08-27 14:10:00,23,M.C.G.,Western Bulldogs,Hawthorn,Hawthorn
2011-08-27 19:10:00,23,Gabba,West Coast,Brisbane Lions,West Coast
2011-08-27 19:10:00,23,Docklands,North Melbourne,St Kilda,St Kilda
2011-08-28 13:10:00,23,Football Park,Richmond,Adelaide,Richmond
2011-08-28 14:10:00,23,M.C.G.,Gold Coast,Melbourne,Melbourne
2011-08-28 16:40:00,23,Docklands,Port Adelaide,Essendon,Essendon
2011-09-02 19:40:00,24,M.C.G.,Geelong,Collingwood,Geelong
2011-09-03 13:10:00,24,Carrara,Hawthorn,Gold Coast,Hawthorn
2011-09-03 14:10:00,24,Docklands,Fremantle,Western Bulldogs,Western Bulldogs
2011-09-03 16:10:00,24,S.C.G.,Brisbane Lions,Sydney,Sydney
2011-09-03 19:10:00,24,M.C.G.,St Kilda,Carlton,St Kilda
2011-09-03 19:10:00,24,Subiaco,Adelaide,West Coast,West Coast
2011-09-04 15:10:00,24,Adelaide Oval,Melbourne,Port Adelaide,Port Adelaide
2011-09-04 16:40:00,24,Docklands,North Melbourne,Richmond,North Melbourne
2011-09-09 19:45:00,25,M.C.G.,Hawthorn,Geelong,Geelong
2011-09-10 14:20:00,25,M.C.G.,West Coast,Collingwood,Collingwood
2011-09-10 19:20:00,25,Docklands,Sydney,St Kilda,Sydney
2011-09-11 14:40:00,25,M.C.G.,Essendon,Carlton,Carlton
2011-09-16 19:45:00,26,M.C.G.,Sydney,Hawthorn,Hawthorn
2011-09-17 19:50:00,26,Subiaco,Carlton,West Coast,West Coast
2011-09-23 19:45:00,27,M.C.G.,Hawthorn,Collingwood,Collingwood
2011-09-24 14:20:00,27,M.C.G.,West Coast,Geelong,Geelong
2011-10-01 14:30:00,28,M.C.G.,Geelong,Collingwood,Geelong
2012-03-24 19:20:00,1,Stadium Australia,Sydney,Greater Western Sydney,Sydney
2012-03-29 19:45:00,1,M.C.G.,Carlton,Richmond,Carlton
2012-03-30 19:50:00,1,M.C.G.,Collingwood,Hawthorn,Hawthorn
2012-03-31 13:45:00,1,M.C.G.,Brisbane Lions,Melbourne,Brisbane Lions
2012-03-31 16:45:00,1,Carrara,Adelaide,Gold Coast,Adelaide
2012-03-31 19:45:00,1,Subiaco,Geelong,Fremantle,Fremantle
