Date,Round,Venue,A_Team,B_Team,Winner
2012-07-29 15:15:00,18,Docklands,Western Bulldogs,St Kilda,St Kilda
2012-07-29 16:40:00,18,Subiaco,Brisbane Lions,West Coast,West Coast
2012-08-03 19:50:00,19,M.C.G.,Geelong,Hawthorn,Geelong
2012-08-04 13:45:00,19,Docklands,North Melbourne,Western Bulldogs,North Melbourne
2012-08-04 14:10:00,19,Sydney Showground,Port Adelaide,Greater Western Sydney,Greater Western Sydney
2012-08-04 16:40:00,19,Subiaco,West Coast,Fremantle,Fremantle
2012-08-04 19:40:00,19,Gabba,Richmond,Brisbane Lions,Richmond
2012-08-04 19:40:00,19,M.C.G.,St Kilda,Collingwood,Collingwood
2012-08-05 13:10:00,19,M.C.G.,Gold Coast,Melbourne,Melbourne
2012-08-05 15:15:00,19,Docklands,Sydney,Carlton,Sydney
2012-08-05 16:40:00,19,Football Park,Essendon,Adelaide,Adelaide
2012-08-10 20:40:00,20,Subiaco,Geelong,West Coast,West Coast
2012-08-11 13:45:00,20,M.C.G.,Melbourne,St Kilda,St Kilda
2012-08-11 14:10:00,20,Football Park,Fremantle,Adelaide,Adelaide
2012-08-11 16:40:00,20,Carrara,Greater Western Sydney,Gold Coast,Gold Coast
2012-08-11 19:40:00,20,Docklands,Brisbane Lions,Carlton,Carlton
2012-08-11 19:40:00,20,Stadium Australia,Collingwood,Sydney,Collingwood
2012-08-12 13:10:00,20,University of Tasmania Stadium,Port Adelaide,Hawthorn,Hawthorn
2012-08-12 15:15:00,20,M.C.G.,Western Bulldogs,Richmond,Richmond
2012-08-12 16:40:00,20,Docklands,North Melbourne,Essendon,North Melbourne
2012-08-17 19:50:00,21,Docklands,St Kilda,Geelong,Geelong
2012-08-18 13:45:00,21,M.C.G.,Carlton,Essendon,Carlton
2012-08-18 14:10:00,21,UNSW Canberra Oval,Melbourne,Greater Western Sydney,Melbourne
2012-08-18 16:40:00,21,Subiaco,Richmond,Fremantle,Fremantle
2012-08-18 19:40:00,21,Gabba,Adelaide,Brisbane Lions,Brisbane Lions
2012-08-18 19:40:00,21,Docklands,North Melbourne,Collingwood,North Melbourne
2012-08-19 13:10:00,21,Football Park,West Coast,Port Adelaide,West Coast
2012-08-19 15:15:00,21,Docklands,Sydney,Western Bulldogs,Sydney
2012-08-19 16:40:00,21,M.C.G.,Gold Coast,Hawthorn,Hawthorn
2012-08-24 19:50:00,22,M.C.G.,Essendon,Richmond,Richmond
2012-08-25 13:45:00,22,Docklands,Greater Western Sydney,St Kilda,St Kilda
2012-08-25 14:10:00,22,Football Park,Brisbane Lions,Port Adelaide,Brisbane Lions
2012-08-25 16:40:00,22,S.C.G.,Hawthorn,Sydney,Hawthorn
2012-08-25 19:40:00,22,Carrara,Carlton,Gold Coast,Gold Coast
2012-08-25 19:40:00,22,Subiaco,Collingwood,West Coast,West Coast
2012-08-26 13:10:00,22,GMHBA Stadium,Western Bulldogs,Geelong,Geelong
2012-08-26 15:15:00,22,Docklands,Fremantle,North Melbourne,Fremantle
2012-08-26 16:40:00,22,M.C.G.,Adelaide,Melbourne,Adelaide
2012-08-31 19:50:00,23,M.C.G.,West Coast,Hawthorn,Hawthorn
2012-09-01 13:45:00,23,GMHBA Stadium,Sydney,Geelong,Geelong
2012-09-01 14:10:00,23,Football Park,Gold Coast,Adelaide,Adelaide
2012-09-01 16:40:00,23,Sydney Showground,North Melbourne,Greater Western Sydney,North Melbourne
2012-09-01 19:40:00,23,M.C.G.,Collingwood,Essendon,Collingwood
2012-09-01 19:40:00,23,Subiaco,Melbourne,Fremantle,Fremantle
2012-09-02 13:10:00,23,Docklands,St Kilda,Carlton,St Kilda
2012-09-02 15:15:00,23,M.C.G.,Port Adelaide,Richmond,
2012-09-02 16:40:00,23,Gabba,Western Bulldogs,Brisbane Lions,Brisbane Lions
2012-09-07 19:50:00,24,M.C.G.,Collingwood,Hawthorn,Hawthorn
2012-09-08 15:15:00,24,Football Park,Sydney,Adelaide,Sydney
2012-09-08 19:45:00,24,M.C.G.,Fremantle,Geelong,Fremantle
2012-09-09 15:15:00,24,Subiaco,North Melbourne,West Coast,West Coast
2012-09-14 20:40:00,25,Football Park,Fremantle,Adelaide,Adelaide
2012-09-15 19:45:00,25,M.C.G.,West Coast,Collingwood,Collingwood
2012-09-21 19:50:00,26,Stadium Australia,Collingwood,Sydney,Sydney
2012-09-22 17:15:00,26,M.C.G.,Adelaide,Hawthorn,Hawthorn
2012-09-29 14:30:00,27,M.C.G.,Sydney,Hawthorn,Sydney
2013-03-22 20:40:00,1,Football Park,Essendon,Adelaide,Essendon
2013-03-23 19:40:00,1,Subiaco,West Coast,Fremantle,Fremantle
2013-03-28 19:40:00,1,M.C.G.,Richmond,Carlton,Richmond
2013-03-30 13:40:00,1,Docklands,Brisbane Lions,Western Bulldogs,Western Bulldogs
2013-03-30 16:40:00,1,Stadium Australia,Sydney,Greater Western Sydney,Sydney
2013-03-30 19:45:00,1,Carrara,St Kilda,Gold Coast,Gold Coast
2013-03-31 13:10:00,1,M.C.G.,Port Adelaide,Melbourne,Port Adelaide
2013-03-31 16:40:00,1,Docklands,Collingwood,North Melbourne,Collingwood
2013-04-01 15:20:00,1,M.C.G.,Geelong,Hawthorn,Geelong
2013-04-05 19:50:00,2,M.C.G.,Richmond,St Kilda,Richmond
2013-04-06 13:45:00,2,S.C.G.,Gold Coast,Sydney,Sydney
2013-04-06 14:10:00,2,Docklands,Fremantle,Western Bulldogs,Fremantle
2013-04-06 16:40:00,2,Gabba,Adelaide,Brisbane Lions,Adelaide
2013-04-06 19:40:00,2,M.C.G.,Melbourne,Essendon,Essendon
2013-04-06 19:40:00,2,Football Park,Greater Western Sydney,Port Adelaide,Port Adelaide
2013-04-07 13:10:00,2,Docklands,North Melbourne,Geelong,Geelong
2013-04-07 15:20:00,2,M.C.G.,Carlton,Collingwood,Collingwood
2013-04-07 16:40:00,2,Subiaco,Hawthorn,West Coast,Hawthorn
2013-04-12 20:40:00,3,Subiaco,Essendon,Fremantle,Essendon
2013-04-13 13:45:00,3,Bellerive Oval,Sydney,North Melbourne,Sydney
2013-04-13 14:10:00,3,M.C.G.,West Coast,Melbourne,West Coast
2013-04-13 16:40:00,3,UNSW Canberra Oval,St Kilda,Greater Western Sydney,St Kilda
2013-04-13 19:40:00,3,Docklands,Carlton,Geelong,Geelong
2013-04-13 19:40:00,3,Carrara,Brisbane Lions,Gold Coast,Brisbane Lions
2013-04-14 13:10:00,3,Docklands,Western Bulldogs,Richmond,Richmond
2013-04-14 15:15:00,3,M.C.G.,Hawthorn,Collingwood,Hawthorn
2013-04-14 16:40:00,3,Football Park,Adelaide,Port Adelaide,Port Adelaide
2013-04-19 19:50:00,4,S.C.G.,Geelong,Sydney,Geelong
2013-04-20 13:45:00,4,University of Tasmania Stadium,Fremantle,Hawthorn,Hawthorn
2013-04-20 14:10:00,4,M.C.G.,Collingwood,Richmond,Collingwood
2013-04-20 16:40:00,4,Docklands,Essendon,St Kilda,Essendon
2013-04-20 19:40:00,4,Carrara,Port Adelaide,Gold Coast,Port Adelaide
2013-04-20 19:40:00,4,Subiaco,Carlton,West Coast,Carlton
2013-04-21 13:10:00,4,M.C.G.,Greater Western Sydney,Melbourne,Melbourne
2013-04-21 15:15:00,4,Football Park,Western Bulldogs,Adelaide,Adelaide
2013-04-21 16:40:00,4,Docklands,Brisbane Lions,North Melbourne,North Melbourne
2013-04-25 14:40:00,5,M.C.G.,Collingwood,Essendon,Essendon
2013-04-25 17:50:00,5,Wellington,Sydney,St Kilda,Sydney
2013-04-26 20:45:00,5,Subiaco,Richmond,Fremantle,Fremantle
2013-04-27 13:45:00,5,UNSW Canberra Oval,Gold Coast,Greater Western Sydney,Gold Coast
2013-04-27 16:40:00,5,M.C.G.,Adelaide,Carlton,Carlton
2013-04-27 19:40:00,5,Docklands,Geelong,Western Bulldogs,Geelong
2013-04-27 19:45:00,5,Football Park,West Coast,Port Adelaide,Port Adelaide
2013-04-28 15:15:00,5,Gabba,Melbourne,Brisbane Lions,Brisbane Lions
2013-04-28 16:40:00,5,M.C.G.,North Melbourne,Hawthorn,Hawthorn
2013-05-03 19:50:00,6,Docklands,St Kilda,Collingwood,Collingwood
2013-05-04 13:45:00,6,Docklands,Greater Western Sydney,Essendon,Essendon
2013-05-04 14:10:00,6,Bellerive Oval,Port Adelaide,North Melbourne,North Melbourne
2013-05-04 16:40:00,6,Football Park,Hawthorn,Adelaide,Hawthorn
2013-05-04 19:40:00,6,Carrara,Fremantle,Gold Coast,Fremantle
2013-05-04 19:40:00,6,M.C.G.,Geelong,Richmond,Geelong
2013-05-05 13:10:00,6,S.C.G.,Brisbane Lions,Sydney,Sydney
2013-05-05 15:20:00,6,M.C.G.,Melbourne,Carlton,Carlton
2013-05-05 16:40:00,6,Subiaco,Western Bulldogs,West Coast,West Coast
2013-05-10 19:50:00,7,Docklands,Essendon,Geelong,Geelong
2013-05-11 13:45:00,7,Football Park,Richmond,Port Adelaide,Richmond
2013-05-11 14:10:00,7,Gabba,West Coast,Brisbane Lions,West Coast
2013-05-11 16:40:00,7,Docklands,North Melbourne,Western Bulldogs,North Melbourne
2013-05-11 19:40:00,7,Subiaco,Collingwood,Fremantle,Fremantle
2013-05-11 19:40:00,7,M.C.G.,Sydney,Hawthorn,Hawthorn
2013-05-12 13:10:00,7,Sydney Showground,Adelaide,Greater Western Sydney,Adelaide
2013-05-12 16:40:00,7,M.C.G.,Gold Coast,Melbourne,Gold Coast
2013-05-13 19:40:00,7,Docklands,Carlton,St Kilda,St Kilda
2013-05-17 20:40:00,8,Subiaco,North Melbourne,West Coast,West Coast
2013-05-18 13:45:00,8,Docklands,Brisbane Lions,Essendon,Brisbane Lions
2013-05-18 14:10:00,8,University of Tasmania Stadium,Greater Western Sydney,Hawthorn,Hawthorn
2013-05-18 16:40:00,8,Carrara,Western Bulldogs,Gold Coast,Gold Coast
2013-05-18 19:40:00,8,M.C.G.,Geelong,Collingwood,Collingwood
2013-05-18 19:40:00,8,S.C.G.,Fremantle,Sydney,
2013-05-19 13:10:00,8,Docklands,Port Adelaide,Carlton,Carlton
2013-05-19 15:20:00,8,M.C.G.,Melbourne,Richmond,Richmond
2013-05-19 16:40:00,8,Football Park,St Kilda,Adelaide,Adelaide
2013-05-24 19:50:00,9,M.C.G.,Sydney,Collingwood,Sydney
2013-05-25 13:45:00,9,Football Park,Geelong,Port Adelaide,Geelong
2013-05-25 14:10:00,9,Sydney Showground,West Coast,Greater Western Sydney,West Coast
2013-05-25 16:40:00,9,Docklands,Western Bulldogs,St Kilda,Western Bulldogs
2013-05-25 19:40:00,9,Gabba,Carlton,Brisbane Lions,Carlton
2013-05-25 19:45:00,9,M.C.G.,Essendon,Richmond,Essendon
2013-05-26 13:10:00,9,M.C.G.,Gold Coast,Hawthorn,Hawthorn
2013-05-26 15:20:00,9,Docklands,Adelaide,North Melbourne,Adelaide
2013-05-26 16:40:00,9,Subiaco,Melbourne,Fremantle,Fremantle
2013-05-31 19:50:00,10,Gabba,Collingwood,Brisbane Lions,Collingwood
2013-06-01 13:45:00,10,Docklands,Greater Western Sydney,Carlton,Carlton
2013-06-01 14:10:00,10,Football Park,Fremantle,Adelaide,Fremantle
2013-06-01 16:40:00,10,S.C.G.,Essendon,Sydney,Sydney
2013-06-01 19:40:00,10,GMHBA Stadium,Gold Coast,Geelong,Geelong
2013-06-01 19:40:00,10,Marrara Oval,Port Adelaide,Western Bulldogs,Western Bulldogs
2013-06-02 15:20:00,10,M.C.G.,Hawthorn,Melbourne,Hawthorn
2013-06-02 16:40:00,10,Docklands,St Kilda,North Melbourne,North Melbourne
2013-06-03 19:40:00,10,Subiaco,Richmond,West Coast,Richmond
2013-06-07 19:50:00,11,M.C.G.,Carlton,Essendon,Essendon
2013-06-08 13:40:00,11,Sydney Showground,Geelong,Greater Western Sydney,Geelong
2013-06-08 16:40:00,11,Football Park,Sydney,Adelaide,Sydney
2013-06-08 19:40:00,11,Carrara,North Melbourne,Gold Coast,Gold Coast
2013-06-09 16:40:00,11,Docklands,West Coast,St Kilda,West Coast
2013-06-10 15:20:00,11,M.C.G.,Collingwood,Melbourne,Collingwood
2013-06-14 19:50:00,12,Docklands,Hawthorn,Carlton,Hawthorn
2013-06-15 13:40:00,12,M.C.G.,Adelaide,Richmond,Richmond
2013-06-15 16:40:00,12,Subiaco,Brisbane Lions,Fremantle,Fremantle
2013-06-15 19:40:00,12,Docklands,Gold Coast,Essendon,Essendon
2013-06-16 13:10:00,12,Sydney Showground,Port Adelaide,Greater Western Sydney,Port Adelaide
2013-06-16 16:40:00,12,Docklands,Western Bulldogs,Collingwood,Collingwood
2013-06-21 19:50:00,13,Docklands,West Coast,Hawthorn,Hawthorn
2013-06-22 13:40:00,13,Football Park,Sydney,Port Adelaide,Port Adelaide
2013-06-22 16:40:00,13,M.C.G.,Melbourne,St Kilda,St Kilda
2013-06-22 19:40:00,13,Docklands,Richmond,Western Bulldogs,Richmond
2013-06-23 15:20:00,13,Subiaco,North Melbourne,Fremantle,Fremantle
2013-06-23 16:40:00,13,Gabba,Geelong,Brisbane Lions,Brisbane Lions
2013-06-27 20:10:00,14,Subiaco,Essendon,West Coast,Essendon
2013-06-28 19:50:00,14,S.C.G.,Carlton,Sydney,Sydney
2013-06-29 13:40:00,14,Carrara,Adelaide,Gold Coast,Adelaide
2013-06-29 16:40:00,14,Football Park,Collingwood,Port Adelaide,Port Adelaide
2013-06-29 19:40:00,14,GMHBA Stadium,Fremantle,Geelong,Geelong
2013-06-29 19:40:00,14,M.C.G.,Western Bulldogs,Melbourne,Melbourne
2013-06-30 13:10:00,14,University of Tasmania Stadium,Brisbane Lions,Hawthorn,Hawthorn
2013-06-30 15:20:00,14,Docklands,Greater Western Sydney,North Melbourne,North Melbourne
2013-06-30 16:40:00,14,M.C.G.,St Kilda,Richmond,Richmond
2013-07-05 19:50:00,15,M.C.G.,Collingwood,Carlton,Collingwood
2013-07-06 13:45:00,15,UNSW Canberra Oval,Western Bulldogs,Greater Western Sydney,Western Bulldogs
2013-07-06 14:10:00,15,Docklands,Richmond,North Melbourne,North Melbourne
2013-07-06 16:40:00,15,Gabba,Gold Coast,Brisbane Lions,Brisbane Lions
2013-07-06 19:40:00,15,Football Park,West Coast,Adelaide,West Coast
2013-07-06 19:40:00,15,M.C.G.,Hawthorn,Geelong,Geelong
2013-07-07 13:10:00,15,M.C.G.,Sydney,Melbourne,Sydney
2013-07-07 15:20:00,15,Subiaco,St Kilda,Fremantle,Fremantle
2013-07-07 16:40:00,15,Docklands,Port Adelaide,Essendon,Essendon
2013-07-12 19:50:00,16,M.C.G.,Adelaide,Collingwood,Collingwood
2013-07-13 13:45:00,16,Football Park,Hawthorn,Port Adelaide,Hawthorn
2013-07-13 14:10:00,16,GMHBA Stadium,Melbourne,Geelong,Geelong
2013-07-13 16:40:00,16,Cazaly's Stadium,Gold Coast,Richmond,Richmond
2013-07-13 19:40:00,16,Gabba,North Melbourne,Brisbane Lions,Brisbane Lions
2013-07-13 19:40:00,16,Docklands,St Kilda,Carlton,Carlton
2013-07-14 13:10:00,16,S.C.G.,Greater Western Sydney,Sydney,Sydney
2013-07-14 15:20:00,16,Docklands,Essendon,Western Bulldogs,Essendon
2013-07-14 16:40:00,16,Subiaco,Fremantle,West Coast,Fremantle
2013-07-19 19:50:00,17,Docklands,Carlton,North Melbourne,Carlton
2013-07-20 13:45:00,17,University of Tasmania Stadium,Western Bulldogs,Hawthorn,Hawthorn
2013-07-20 14:10:00,17,Sydney Showground,Essendon,Greater Western Sydney,Essendon
2013-07-20 16:40:00,17,Carrara,Collingwood,Gold Coast,Gold Coast
2013-07-20 19:40:00,17,Marrara Oval,Brisbane Lions,Melbourne,Brisbane Lions
2013-07-20 19:40:00,17,Docklands,Port Adelaide,St Kilda,Port Adelaide
2013-07-21 13:10:00,17,M.C.G.,Fremantle,Richmond,Richmond
2013-07-21 15:20:00,17,Football Park,Geelong,Adelaide,Adelaide
2013-07-21 16:40:00,17,Subiaco,Sydney,West Coast,Sydney
2013-07-26 19:50:00,18,Docklands,Hawthorn,Essendon,Hawthorn
2013-07-27 13:45:00,18,Carrara,Carlton,Gold Coast,Carlton
2013-07-27 14:10:00,18,Docklands,North Melbourne,Melbourne,North Melbourne
2013-07-27 16:40:00,18,M.C.G.,Greater Western Sydney,Collingwood,Collingwood
2013-07-27 19:40:00,18,Subiaco,Adelaide,Fremantle,Fremantle
2013-07-27 19:40:00,18,GMHBA Stadium,St Kilda,Geelong,Geelong
2013-07-28 13:10:00,18,Football Park,Brisbane Lions,Port Adelaide,Port Adelaide
2013-07-28 15:20:00,18,Docklands,West Coast,Western Bulldogs,Western Bulldogs
2013-07-28 16:40:00,18,S.C.G.,Richmond,Sydney,Sydney
2013-08-02 19:50:00,19,Docklands,Geelong,North Melbourne,North Melbourne
2013-08-03 13:45:00,19,Sydney Showground,Melbourne,Greater Western Sydney,Greater Western Sydney
2013-08-03 14:10:00,19,M.C.G.,Richmond,Hawthorn,Richmond
2013-08-03 16:40:00,19,Subiaco,Gold Coast,West Coast,West Coast
2013-08-03 19:40:00,19,Gabba,St Kilda,Brisbane Lions,Brisbane Lions
2013-08-03 19:40:00,19,Docklands,Fremantle,Carlton,Fremantle
2013-08-04 13:10:00,19,Docklands,Sydney,Western Bulldogs,Sydney
2013-08-04 15:20:00,19,Football Park,Port Adelaide,Adelaide,Port Adelaide
2013-08-04 16:40:00,19,M.C.G.,Essendon,Collingwood,Collingwood
2013-08-09 19:50:00,20,Docklands,Hawthorn,St Kilda,Hawthorn
2013-08-10 13:45:00,20,M.C.G.,Brisbane Lions,Richmond,Richmond
2013-08-10 14:10:00,20,GMHBA Stadium,Port Adelaide,Geelong,Geelong
2013-08-10 16:40:00,20,Docklands,Western Bulldogs,Carlton,Western Bulldogs
2013-08-10 19:40:00,20,Carrara,Melbourne,Gold Coast,Gold Coast
2013-08-10 19:40:00,20,Stadium Australia,Collingwood,Sydney,Collingwood
2013-08-11 13:10:00,20,Docklands,West Coast,Essendon,West Coast
2013-08-11 15:20:00,20,Football Park,North Melbourne,Adelaide,Adelaide
2013-08-11 16:40:00,20,Subiaco,Greater Western Sydney,Fremantle,Fremantle
2013-08-16 19:50:00,21,M.C.G.,Collingwood,Hawthorn,Hawthorn
2013-08-17 13:45:00,21,M.C.G.,Carlton,Richmond,Carlton
2013-08-17 14:10:00,21,Football Park,Gold Coast,Port Adelaide,Port Adelaide
2013-08-17 16:40:00,21,Docklands,North Melbourne,Essendon,North Melbourne
2013-08-17 19:40:00,21,Gabba,Greater Western Sydney,Brisbane Lions,Brisbane Lions
2013-08-17 19:40:00,21,Subiaco,Geelong,West Coast,Geelong
2013-08-18 13:10:00,21,M.C.G.,Fremantle,Melbourne,Fremantle
2013-08-18 15:20:00,21,S.C.G.,St Kilda,Sydney,Sydney
2013-08-18 16:40:00,21,Docklands,Adelaide,Western Bulldogs,Western Bulldogs
2013-08-23 19:50:00,22,M.C.G.,West Coast,Collingwood,Collingwood
2013-08-24 13:45:00,22,Football Park,Melbourne,Adelaide,Adelaide
2013-08-24 14:10:00,22,Docklands,Hawthorn,North Melbourne,Hawthorn
2013-08-24 16:40:00,22,GMHBA Stadium,Sydney,Geelong,Geelong
2013-08-24 19:40:00,22,M.C.G.,Essendon,Carlton,Essendon
2013-08-24 19:40:00,22,Subiaco,Port Adelaide,Fremantle,Fremantle
2013-08-25 13:10:00,22,Docklands,Gold Coast,St Kilda,St Kilda
2013-08-25 15:20:00,22,Sydney Showground,Richmond,Greater Western Sydney,Richmond
2013-08-25 16:40:00,22,Gabba,Western Bulldogs,Brisbane Lions,Brisbane Lions
2013-08-30 19:50:00,23,Stadium Australia,Hawthorn,Sydney,Hawthorn
2013-08-31 13:45:00,23,Docklands,Fremantle,St Kilda,St Kilda
2013-08-31 14:10:00,23,GMHBA Stadium,Brisbane Lions,Geelong,Geelong
2013-08-31 16:40:00,23,Football Park,Carlton,Port Adelaide,Carlton
2013-08-31 19:40:00,23,M.C.G.,Richmond,Essendon,Richmond
2013-08-31 20:10:00,23,Subiaco,Adelaide,West Coast,Adelaide
2013-09-01 13:10:00,23,Carrara,Greater Western Sydney,Gold Coast,Gold Coast
2013-09-01 15:20:00,23,M.C.G.,North Melbourne,Collingwood,North Melbourne
2013-09-01 16:40:00,23,Docklands,Melbourne,Western Bulldogs,Western Bulldogs
2013-09-06 19:50:00,24,M.C.G.,Sydney,Hawthorn,Hawthorn
2013-09-07 14:20:00,24,GMHBA Stadium,Fremantle,Geelong,Fremantle
2013-09-07 19:45:00,24,M.C.G.,Port Adelaide,Collingwood,Port Adelaide
2013-09-08 15:20:00,24,M.C.G.,Carlton,Richmond,Carlton
2013-09-13 19:50:00,25,M.C.G.,Port Adelaide,Geelong,Geelong
2013-09-14 19:45:00,25,Stadium Australia,Carlton,Sydney,Sydney
2013-09-20 19:50:00,26,M.C.G.,Geelong,Hawthorn,Hawthorn
2013-09-21 19:45:00,26,Subiaco,Sydney,Fremantle,Fremantle
2013-09-28 14:30:00,27,M.C.G.,Fremantle,Hawthorn,Hawthorn
2014-03-14 19:50:00,1,Docklands,Fremantle,Collingwood,Fremantle
2014-03-15 16:40:00,1,Sydney Showground,Sydney,Greater Western Sydney,Greater Western Sydney
2014-03-15 19:55:00,1,Carrara,Richmond,Gold Coast,Gold Coast
2014-03-16 19:40:00,1,Docklands,Port Adelaide,Carlton,Port Adelaide
2014-03-20 19:10:00,1,GMHBA Stadium,Adelaide,Geelong,Geelong
2014-03-21 19:50:00,1,Docklands,Essendon,North Melbourne,Essendon
2014-03-22 16:40:00,1,University of Tasmania Stadium,Brisbane Lions,Hawthorn,Hawthorn
2014-03-22 19:40:00,1,Docklands,Melbourne,St Kilda,St Kilda
2014-03-23 19:40:00,1,Subiaco,Western Bulldogs,West Coast,West Coast
2014-03-27 19:45:00,2,M.C.G.,Carlton,Richmond,Richmond
2014-03-28 19:50:00,2,Docklands,Hawthorn,Essendon,Hawthorn
2014-03-29 13:40:00,2,Docklands,Greater Western Sydney,St Kilda,St Kilda
2014-03-29 16:45:00,2,Adelaide Oval,Adelaide,Port Adelaide,Port Adelaide
2014-03-29 19:40:00,2,Subiaco,Gold Coast,Fremantle,Fremantle
2014-03-29 19:40:00,2,Stadium Australia,Collingwood,Sydney,Collingwood
2014-03-30 13:10:00,2,Gabba,Geelong,Brisbane Lions,Geelong
2014-03-30 15:20:00,2,M.C.G.,West Coast,Melbourne,West Coast
2014-03-30 16:40:00,2,Docklands,North Melbourne,Western Bulldogs,North Melbourne
2014-04-04 19:50:00,3,M.C.G.,Fremantle,Hawthorn,Hawthorn
2014-04-05 13:45:00,3,Docklands,Richmond,Western Bulldogs,Western Bulldogs
2014-04-05 14:10:00,3,Adelaide Oval,Sydney,Adelaide,Sydney
2014-04-05 16:40:00,3,Carrara,Brisbane Lions,Gold Coast,Gold Coast
2014-04-05 19:40:00,3,M.C.G.,Geelong,Collingwood,Geelong
2014-04-05 19:40:00,3,Subiaco,St Kilda,West Coast,West Coast
2014-04-06 13:10:00,3,Sydney Showground,Melbourne,Greater Western Sydney,Greater Western Sydney
2014-04-06 16:10:00,3,Docklands,Port Adelaide,North Melbourne,North Melbourne
2014-04-06 19:10:00,3,M.C.G.,Carlton,Essendon,Essendon
2014-04-11 19:50:00,4,M.C.G.,Collingwood,Richmond,Collingwood
2014-04-12 13:45:00,4,M.C.G.,Melbourne,Carlton,Melbourne
2014-04-12 14:10:00,4,Adelaide Oval,Brisbane Lions,Port Adelaide,Port Adelaide
2014-04-12 16:40:00,4,UNSW Canberra Oval,Western Bulldogs,Greater Western Sydney,Western Bulldogs
2014-04-12 19:40:00,4,GMHBA Stadium,West Coast,Geelong,Geelong
2014-04-12 19:40:00,4,Carrara,Hawthorn,Gold Coast,Hawthorn
2014-04-13 13:10:00,4,S.C.G.,North Melbourne,Sydney,North Melbourne
2014-04-13 15:20:00,4,Docklands,Adelaide,St Kilda,Adelaide
2014-04-13 16:40:00,4,Subiaco,Essendon,Fremantle,Fremantle
2014-04-17 19:50:00,5,Gabba,Richmond,Brisbane Lions,Richmond
2014-04-19 13:40:00,5,M.C.G.,North Melbourne,Collingwood,Collingwood
2014-04-19 16:40:00,5,S.C.G.,Fremantle,Sydney,Sydney
2014-04-19 19:40:00,5,Docklands,St Kilda,Essendon,St Kilda
2014-04-19 19:40:00,5,Subiaco,Port Adelaide,West Coast,Port Adelaide
2014-04-20 13:10:00,5,Adelaide Oval,Greater Western Sydney,Adelaide,Adelaide
2014-04-20 15:20:00,5,M.C.G.,Gold Coast,Melbourne,Gold Coast
2014-04-20 16:40:00,5,Docklands,Carlton,Western Bulldogs,Carlton
2014-04-21 15:20:00,5,M.C.G.,Hawthorn,Geelong,Geelong
2014-04-25 14:40:00,6,M.C.G.,Essendon,Collingwood,Collingwood
2014-04-25 17:45:00,6,Wellington,Brisbane Lions,St Kilda,Brisbane Lions
2014-04-25 20:45:00,6,Subiaco,North Melbourne,Fremantle,North Melbourne
2014-04-26 13:40:00,6,Carrara,Greater Western Sydney,Gold Coast,Gold Coast
2014-04-26 16:40:00,6,Docklands,West Coast,Carlton,Carlton
2014-04-26 19:40:00,6,M.C.G.,Sydney,Melbourne,Sydney
2014-04-27 13:10:00,6,Docklands,Adelaide,Western Bulldogs,Adelaide
2014-04-27 15:20:00,6,M.C.G.,Hawthorn,Richmond,Hawthorn
2014-04-27 16:40:00,6,Adelaide Oval,Geelong,Port Adelaide,Port Adelaide
2014-05-02 19:50:00,7,M.C.G.,Collingwood,Carlton,Collingwood
2014-05-03 13:45:00,7,M.C.G.,St Kilda,Hawthorn,Hawthorn
2014-05-03 14:10:00,7,UNSW Canberra Oval,Port Adelaide,Greater Western Sydney,Port Adelaide
2014-05-03 16:40:00,7,Adelaide Oval,Melbourne,Adelaide,Melbourne
2014-05-03 19:40:00,7,Gabba,Sydney,Brisbane Lions,Sydney
2014-05-03 19:40:00,7,Docklands,Western Bulldogs,Essendon,Essendon
2014-05-04 13:10:00,7,Docklands,Gold Coast,North Melbourne,Gold Coast
2014-05-04 15:20:00,7,M.C.G.,Richmond,Geelong,Geelong
2014-05-04 16:40:00,7,Subiaco,Fremantle,West Coast,Fremantle
2014-05-09 19:50:00,8,Stadium Australia,Hawthorn,Sydney,Sydney
2014-05-10 13:40:00,8,Adelaide Oval,Fremantle,Port Adelaide,Port Adelaide
2014-05-10 16:40:00,8,Gabba,Essendon,Brisbane Lions,Essendon
2014-05-10 19:40:00,8,M.C.G.,Western Bulldogs,Melbourne,Western Bulldogs
2014-05-11 16:40:00,8,Subiaco,Greater Western Sydney,West Coast,West Coast
2014-05-12 19:20:00,8,Docklands,Carlton,St Kilda,Carlton
2014-05-15 19:50:00,9,Adelaide Oval,Collingwood,Adelaide,Adelaide
2014-05-16 19:50:00,9,Docklands,Sydney,Essendon,Sydney
2014-05-17 13:40:00,9,M.C.G.,Melbourne,Richmond,Melbourne
2014-05-17 16:40:00,9,Docklands,Brisbane Lions,North Melbourne,North Melbourne
2014-05-17 19:40:00,9,Subiaco,Geelong,Fremantle,Fremantle
2014-05-18 16:40:00,9,Docklands,Gold Coast,St Kilda,Gold Coast
2014-05-23 19:50:00,10,GMHBA Stadium,North Melbourne,Geelong,Geelong
2014-05-24 13:40:00,10,Sydney Showground,Richmond,Greater Western Sydney,Richmond
2014-05-24 16:40:00,10,M.C.G.,West Coast,Collingwood,Collingwood
2014-05-24 19:40:00,10,Adelaide Oval,Hawthorn,Port Adelaide,Port Adelaide
2014-05-25 15:20:00,10,Carrara,Western Bulldogs,Gold Coast,Gold Coast
2014-05-25 16:40:00,10,M.C.G.,Adelaide,Carlton,Carlton
